id,dataset
616206452,int
616226398,int
1129016958,fsf
1174566572,fsf
107013897,twt
1175053682,fsf
1175677580,fsf
334249560,twt
88866261,twt
1174778426,fsf
616296594,int
616544230,int
1130216966,fsf
401190123,twt
616325196,int
617745271,int
1374959215,int
716473104,int
1372493953,int
1124360551,fsf
1176045456,fsf
157864555,twt
189730759,twt
1174317492,fsf
1174360562,fsf
616891841,int
1176037879,fsf
202155524,twt
617788541,int
1127297354,fsf
53671214,twt
1127411401,fsf
1174898036,fsf
1174457058,fsf
1176067166,fsf
616224637,int
1176223429,fsf
229286608,twt
202511395,twt
129899218,twt
616302072,int
617236155,int
1176174571,fsf
617710286,int
616337604,int
617605452,int
185933483,twt
1176150378,fsf
422415442,twt
181225107,twt
616223567,int
1176388189,fsf
616448213,int
621412525,int
1127216318,fsf
346747623,twt
1175840936,fsf
130303998,twt
1174387664,fsf
1128486390,fsf
617078388,int
619219990,int
1127822533,fsf
1175872345,fsf
361350314,twt
355993172,twt
1175711664,fsf
295394982,twt
1176288571,fsf
1130535104,fsf
617538588,int
622793906,int
585883867,twt
1126962823,fsf
616288152,int
1176054547,fsf
616222843,int
617867481,int
616208980,int
616300077,int
1176172730,fsf
1176198690,fsf
1175719664,fsf
1176274290,fsf
1174713944,fsf
617279109,int
109075883,twt
616646437,int
1176405116,fsf
1124739583,fsf
1174855417,fsf
617173576,int
291191096,twt
20726266,twt
152846674,twt
1174342740,fsf
169433349,twt
479340177,twt
1174811528,fsf
1208410542,int
616303560,int
620739715,int
1373450377,int
616285401,int
242186430,twt
622524146,int
199815995,twt
54047372,twt
1129288938,fsf
332882634,twt
619513437,int
292442271,twt
392188753,twt
616217939,int
710814337,int
1174982719,fsf
708529440,int
1174680708,fsf
1174627123,fsf
619683215,int
394416247,twt
223329964,twt
57757511,twt
1174876764,fsf
617494611,int
714583566,int
617452824,int
1175734488,fsf
617111228,int
616229522,int
1175951042,fsf
1174435964,fsf
245280307,twt
1176283176,fsf
1176090313,fsf
1175980688,fsf
402630337,twt
618223383,int
1385228084,int
329489449,twt
112131340,twt
1176301609,fsf
617437469,int
621414410,int
616220414,int
1208295348,int
616218947,int
618945271,int
261915122,twt
616308387,int
616263058,int
617590863,int
104657589,twt
544481555,twt
1176024900,fsf
1175006178,fsf
616758171,int
1176177198,fsf
617662277,int
1174400497,fsf
616217762,int
617888487,int
619810380,int
618615426,int
617245921,int
558153258,twt
620687869,int
394725471,twt
616500089,int
1129401444,fsf
384501016,twt
617732455,int
1127827542,fsf
616227562,int
1128706746,fsf
1174648291,fsf
1175720130,fsf
504867024,twt
1130534586,fsf
328612451,twt
620777740,int
1130259265,fsf
97275343,twt
1219039568,int
1129803002,fsf
1130225450,fsf
1129901942,fsf
1127132214,fsf
616211479,int
619369704,int
616210933,int
10935572,twt
1174762351,fsf
616727070,int
92525390,twt
616854398,int
1175993282,fsf
597614760,twt
1174933712,fsf
620896239,int
582855209,twt
195874688,twt
1174670046,fsf
1129937737,fsf
1129397028,twt
616205957,int
1175898612,fsf
1130403349,fsf
1127894718,fsf
616299699,int
1175757835,fsf
202440814,twt
1174409298,fsf
1175883632,fsf
616231447,int
716451656,int
617279835,int
52346698,twt
622304985,int
1176194707,fsf
710092674,int
466557338,twt
1175062736,fsf
475035176,twt
1174553017,fsf
231035428,twt
1127880368,fsf
158541730,twt
129729416,twt
233884874,twt
1128394315,fsf
50449844,twt
616874546,int
616285149,int
261627134,twt
616230778,int
1127066796,fsf
616300368,int
1174700300,fsf
616977822,int
616221038,int
529329358,twt
1176249991,fsf
620696383,int
222154371,twt
1387393236,int
1124550980,fsf
1129290072,fsf
1175848021,fsf
617400276,int
1174775082,fsf
716289278,int
1176279901,fsf
616218743,int
617733045,int
1127914004,fsf
618215489,int
1128666674,fsf
616755124,int
616304159,int
1176070208,fsf
616566914,int
94528740,twt
1175741276,fsf
619448053,int
616753922,int
508032449,twt
1127839795,fsf
1175025703,fsf
616791162,int
1174694204,fsf
616225522,int
412614875,twt
1176358165,fsf
1175782370,fsf
105696650,twt
1130538576,fsf
83697927,twt
545647644,twt
1174435530,fsf
1175904811,fsf
616583718,int
443037335,twt
616224125,int
1127023860,fsf
1175791177,fsf
1127645011,fsf
620259574,int
1367487373,int
617309307,int
617447770,int
712317120,int
616225411,int
151474227,twt
618499240,int
619235948,int
253111142,twt
1130110020,fsf
621412482,int
1207752978,int
617276858,int
616218488,int
252139342,twt
1174330140,fsf
1174885004,fsf
611817370,twt
1391998039,int
1176031873,fsf
1174750884,fsf
619441415,int
616211005,int
617236411,int
617293369,int
1176277345,fsf
290499654,int
1127303257,fsf
617398277,int
616219076,int
1175943655,fsf
1387702238,int
616212148,int
1176319747,fsf
616231544,int
1176344617,fsf
616224133,int
617342164,int
1174944620,fsf
618136325,int
1127515314,fsf
1174402410,fsf
1175806116,fsf
1128697718,fsf
616234909,int
34589722,twt
616438405,int
1130213556,fsf
622866052,int
1174898930,fsf
1174804556,fsf
335052095,twt
617843808,int
93225500,twt
1175992374,fsf
1175000504,fsf
616650103,int
1176127388,fsf
1175788465,fsf
1176267397,fsf
101399567,twt
616312923,int
245685332,twt
618549078,int
404334610,twt
358263991,twt
1208757007,int
1124447899,fsf
1175933244,fsf
1175633166,fsf
333805197,twt
622357843,int
303932719,int
1174509800,fsf
616287702,int
89963109,twt
319071294,twt
147266930,twt
616862788,int
620776121,int
84539426,twt
616218557,int
1174742864,fsf
212928560,twt
1175772264,fsf
1175629345,fsf
1127260830,fsf
1176382580,fsf
1174331750,fsf
616810995,int
1175868074,fsf
422318647,twt
616210814,int
616206656,int
29940598,twt
616561810,int
1129905792,fsf
128620164,twt
616687643,int
135026061,twt
618689737,int
617471280,int
616871628,int
622928583,int
173215914,twt
1176151704,fsf
1176419695,fsf
73473444,twt
351514291,twt
616997089,int
616222607,int
616230280,int
616299006,int
1126921074,fsf
1174847785,fsf
616394546,int
617824831,int
207293756,twt
1124807293,fsf
1128355266,fsf
617410411,int
616224899,int
1175653093,fsf
616535986,int
1175634584,fsf
1386172154,int
1174789676,fsf
616304457,int
1128816360,fsf
616229738,int
620419987,int
379259119,twt
617096658,int
616392153,int
1127241931,fsf
270595940,twt
616232053,int
1175626327,fsf
1174944276,fsf
619598059,int
1176362071,fsf
1128398388,fsf
1127218854,fsf
21196037,twt
1127992975,fsf
1208193505,int
1174751144,fsf
341335650,twt
1174410324,fsf
1176149502,fsf
1127816366,fsf
616311015,int
619406337,int
617617449,int
616232257,int
616699097,int
618220272,int
616231375,int
116397637,twt
335610997,twt
616553484,int
1174929679,fsf
194026156,twt
1129918525,fsf
1175009000,fsf
1126886184,fsf
259042485,twt
616219883,int
619542769,int
1130157896,fsf
1174869769,fsf
454616346,twt
1174926474,fsf
1370781445,int
1127150011,fsf
617445392,int
330273328,twt
617801213,int
1213549526,int
1208895733,int
1128419868,fsf
616299315,int
1174395410,fsf
617155487,int
337653685,twt
616225373,int
1208639550,int
616300803,int
273432870,twt
616229977,int
241553849,twt
1174851200,fsf
616212203,int
317248347,twt
198833831,twt
616297194,int
617739493,int
616575636,int
617898741,int
711397128,int
1175980453,fsf
112540516,twt
616224700,int
1176105391,fsf
617556297,int
1130546598,fsf
617602159,int
619563674,int
1175717354,fsf
101330413,twt
620175784,int
621377933,int
1130415098,fsf
616287579,int
617176526,int
616500983,int
1175828748,fsf
1176241388,fsf
1176385015,fsf
