index,followers_friends_ratio,default_image,no biography,no location,friends,no tweets
3610511,0,0,0,0,1,0
5656162,0,0,0,0,1,0
5682702,0,0,0,0,0,0
6067292,0,0,0,1,1,0
6015122,0,0,0,0,0,0
6140012,0,0,0,0,1,0
6134312,0,0,0,0,1,0
6684602,0,0,0,1,1,0
7046912,0,0,0,0,1,0
7470952,0,0,0,0,1,0
8072492,0,0,0,0,1,0
8291932,0,0,0,0,1,0
8858022,0,0,0,0,1,0
8927532,0,0,0,0,1,0
8933252,0,0,0,1,1,0
9351052,0,0,0,0,0,0
9564632,0,0,0,0,1,0
9939012,0,0,0,0,1,0
9993142,0,0,0,0,1,0
10492262,0,0,0,0,1,0
11176152,0,0,0,0,1,0
13260592,0,0,0,0,1,0
14057516,0,0,0,1,1,0
14112759,0,0,0,0,1,0
14492555,0,0,0,0,1,0
14709812,0,0,0,0,1,0
14865840,0,0,0,0,1,0
14958182,0,0,0,0,1,0
15016610,0,0,0,0,1,0
15271419,0,0,0,0,1,0
15391421,0,0,0,0,1,0
15836275,0,0,0,0,1,0
15873303,0,0,0,0,1,0
16093829,0,0,0,0,1,0
16591972,0,0,0,0,1,0
16927266,0,0,0,0,1,0
17654864,0,0,0,0,1,0
17852114,0,0,0,0,1,0
18173213,0,0,0,0,1,0
18527544,0,0,0,1,1,0
18671285,0,0,0,0,1,0
18735790,0,0,0,0,1,0
18800245,0,0,0,0,1,0
19598248,0,0,0,0,1,0
21102000,0,0,0,0,1,0
21770069,0,0,0,0,1,0
22015750,0,0,0,0,1,0
22136015,0,0,0,0,0,0
22203964,0,0,0,0,1,0
22508731,0,0,0,0,1,0
22627606,0,0,0,0,1,0
22985259,0,0,0,0,1,0
23748269,0,0,0,0,1,0
23847948,0,0,0,0,1,0
24352106,0,0,0,0,0,0
24510304,0,0,0,0,0,0
25442408,0,0,0,0,1,0
25911628,0,0,0,0,1,0
26232444,0,0,0,0,0,0
26771352,0,0,0,1,1,0
27241975,0,0,0,0,1,0
27422705,0,0,0,0,1,0
27636956,0,0,0,0,1,0
27887098,0,0,0,0,1,0
28313453,0,0,0,0,1,0
28342883,0,0,0,0,1,0
28363979,0,0,0,0,0,0
28845598,0,0,0,0,1,0
29500667,0,0,0,0,1,0
29510629,0,0,0,0,1,0
29646177,0,0,0,0,1,0
30062603,0,0,0,0,1,0
31102741,0,0,0,0,1,0
31162918,0,0,0,0,1,0
32025215,0,0,0,0,1,0
32130104,0,0,0,0,1,0
32204918,0,0,0,0,1,0
